Gene_model,UniProt identifier (top hit and/or top hit with annotated GO),Description(s) of hit(s),E-value,Gene Ontology (GO) term,KEGG Orthology (KO) term,Pfam identifier,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,Hw1-1a,Hw1-1b,Hw1-1c,Hw1-4a,Hw1-4b,Hw1-4c,Hw1-5a,Hw1-5b,Hw1-5c,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-1a,Hw2-1b,Hw2-1c,Hw2-4a,Hw2-4b,Hw2-4c,Hw2-5a,Hw2-5b,Hw2-5c,Hw2-6b,Hw2-6c,Wt1-1a,Wt1-1b,Wt1-1c,Wt1-4a,Wt1-4b,Wt1-4c,Wt1-5a,Wt1-5b,Wt1-5c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-1a,Wt2-1b,Wt2-1c,Wt2-4a,Wt2-4b,Wt2-4c,Wt2-5a,Wt2-5b,Wt2-5c,Wt2-6a,Wt2-6b,Wt2-6c
SymbC1.scaffold5809.3,sp|Q9ER47|KCNH7_MOUSE,Potassium voltage-gated channel subfamily H member 7 OS=Mus musculus GN=Kcnh7 PE=1 SV=2,5.79E-30,GO:0006811;GO:0016020;GO:0006810;GO:0005244;GO:0005887;GO:0005249;GO:0005216;GO:0005267;GO:0006813;GO:0071805;GO:0055085;GO:0042391;GO:0034765;GO:0016021,K04910,NA,41.79284428,0.975918814,0.125771384,7.759466315,8.53E-15,2.33E-13,TRUE,6,14,19,41,37,31,38,43,70,43,79,85,23,22,8,57,44,31,79,71,42,50,71,18,46,24,42,36,104,25,50,65,64,53,45,52,24,10,36,64,122,26,44,31,60,130,41
SymbC1.scaffold581.2,sp|Q949R9|MPC1_ARATH,Mitochondrial pyruvate carrier 1 OS=Arabidopsis thaliana GN=MPC1 PE=3 SV=1,1.5E-31,GO:0016021;GO:0006850;GO:1902361;GO:0050833;GO:0031305;GO:0005886;GO:0005743;GO:0016020;GO:0006810;GO:0005774;GO:0005739,NA,PF03650,71.62102736,-0.542917633,0.099370466,-5.46357139,4.67E-08,0.000000473,TRUE,50,83,92,112,59,48,115,77,183,183,236,168,121,57,52,112,89,84,156,180,79,158,198,13,72,41,56,46,132,38,72,87,71,104,51,87,8,24,64,33,102,24,32,20,57,146,42
SymbC1.scaffold581.4,tr|A0A1Q9DFE4|A0A1Q9DFE4_SYMMI;tr|A0A196NJ79|A0A196NJ79_9SPHN,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene24132 PE=4 SV=1//description2:Uncharacterized protein OS=Sphingomonas sp. TDK1 GN=A7X12_00600 PE=4 SV=1,1.92E-13,GO:0016021;GO:0016020,NA,PF11288,104.6228182,-0.630705722,0.111728874,-5.644966246,1.65E-08,0.00000018,TRUE,108,85,104,150,127,94,228,138,357,253,333,279,111,64,33,165,138,95,176,310,84,266,231,38,64,29,71,86,155,66,131,112,130,193,106,76,24,30,81,54,156,40,48,31,129,246,71
SymbC1.scaffold5811.3,tr|A0A1Q9C8H1|A0A1Q9C8H1_SYMMI,"Pentatricopeptide repeat-containing protein, chloroplastic OS=Symbiodinium microadriaticum GN=AK812_SmicGene40583 PE=4 SV=1",9.26E-125,NA,NA,NA,69.12365643,-0.784790299,0.110986045,-7.071071841,1.54E-12,3.1E-11,TRUE,46,67,82,125,100,80,120,117,213,203,222,239,66,43,21,141,94,73,152,169,100,136,178,20,36,37,39,52,98,20,68,82,52,123,45,88,11,20,50,33,128,24,33,34,46,128,29
SymbC1.scaffold5811.4,tr|A0A1Q9ELV5|A0A1Q9ELV5_SYMMI,Chaperone protein DnaJ OS=Symbiodinium microadriaticum GN=dnaJ PE=4 SV=1,0.00E+00,NA,NA,NA,105.5526246,0.383726262,0.079858703,4.805065071,0.00000155,0.0000117,TRUE,71,67,76,107,72,61,124,102,199,191,208,241,109,53,60,149,102,99,246,206,123,189,217,43,115,72,91,87,227,69,96,158,133,142,119,128,30,40,82,105,208,57,98,52,137,236,90
SymbC1.scaffold5811.5,tr|A0A0G4F575|A0A0G4F575_VITBC;tr|C5KKH9|C5KKH9_PERM5,description1:Uncharacterized protein OS=Vitrella brassicaformis (strain CCMP3155) GN=Vbra_14445 PE=4 SV=1//description2:Putative uncharacterized protein OS=Perkinsus marinus (strain ATCC 50983 / TXsc) GN=Pmar_PMAR023416 PE=4 SV=1,8.55E-51,GO:0001522;GO:0009982;GO:0009451;GO:0003723,NA,NA,143.7055233,-0.213094624,0.077000307,-2.767451639,0.005649643,0.017360447,TRUE,79,122,154,208,130,105,200,223,405,316,396,338,170,86,84,266,161,133,356,329,191,347,346,54,108,59,82,72,254,76,171,218,122,238,126,201,29,54,91,107,259,75,93,65,141,258,92
SymbC1.scaffold5813.1,tr|A0A1Q9C9Z1|A0A1Q9C9Z1_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene39922 PE=4 SV=1,1.31E-12,GO:0016020;GO:0016021,NA,NA,27.84262772,0.927592097,0.183388514,5.058070847,0.000000424,0.00000359,TRUE,5,9,17,29,18,20,7,19,38,24,34,55,21,13,7,71,40,57,59,60,28,45,110,3,23,17,32,25,79,26,28,36,48,73,40,31,7,2,28,24,59,22,10,12,44,93,31
SymbC1.scaffold5814.1,sp|Q7RAH3|CDPK1_PLAYO,Calcium-dependent protein kinase 1 OS=Plasmodium yoelii yoelii GN=CPK1 PE=3 SV=3,1.09E-48,GO:0046872;GO:0005509;GO:0005524;GO:0016301;GO:0016310;GO:0004674;GO:0006468;GO:0000166;GO:0016740;GO:0016020;GO:0004672,K13412,PF00069,18.60606655,0.51300939,0.160766695,3.191017831,0.001417725,0.005249026,TRUE,10,9,15,29,20,12,21,23,31,25,40,30,11,3,1,25,22,18,26,25,13,17,17,10,14,11,15,25,57,13,23,40,33,19,29,13,6,9,30,20,56,7,12,11,28,52,17
SymbC1.scaffold5815.1,sp|Q08CG8|RNF44_DANRE,RING finger protein 44 OS=Danio rerio GN=rnf44 PE=2 SV=1,2.99E-15,GO:0016567;GO:0043161;GO:0046872;GO:0061630,K19041,PF13639,40.55163282,-0.754132975,0.133932424,-5.630697562,1.79E-08,0.000000194,TRUE,56,38,49,56,48,34,72,78,135,118,95,107,58,33,19,74,51,46,111,84,64,85,109,8,27,19,13,24,44,14,54,37,20,51,25,54,8,22,22,33,50,10,21,14,28,58,18
SymbC1.scaffold5815.2,sp|P0AC59|GLRX2_ECOLI,Glutaredoxin 2 OS=Escherichia coli (strain K12) GN=grxB PE=1 SV=1,1.52E-43,GO:0045454;GO:0009055;GO:0097573;GO:0055114;GO:0005829;GO:0015038,K03675,PF13417;PF04399,5.488048161,-0.965420024,0.297880784,-3.240961072,0.001191275,0.004496965,TRUE,1,4,5,10,2,11,11,6,13,15,22,21,11,3,9,12,8,8,18,17,6,17,23,0,3,1,1,4,7,1,2,5,3,9,5,5,1,1,2,4,5,2,3,0,5,8,4
SymbC1.scaffold5815.4,sp|Q8R1T4|S35A3_MOUSE,UDP-N-acetylglucosamine transporter OS=Mus musculus GN=Slc35a3 PE=2 SV=1,6.66E-103,GO:0015788;GO:0008643;GO:0016020;GO:0006810;GO:0005351;GO:0016021;GO:0015992;GO:0000139;GO:0005794,K15272,PF04142,7.938372697,-0.65799657,0.268702698,-2.448790339,0.014333686,0.038506512,TRUE,10,8,6,13,7,2,19,7,23,17,29,22,9,4,11,8,5,4,10,24,9,27,11,2,6,5,10,7,16,2,5,7,13,11,9,5,3,1,6,6,11,2,7,2,6,15,2
SymbC1.scaffold5818.2,sp|Q9EQ60|CAC1H_RAT,Voltage-dependent T-type calcium channel subunit alpha-1H OS=Rattus norvegicus GN=Cacna1h PE=2 SV=2,2.39E-11,GO:0086010;GO:0008332;GO:0045956;GO:0032342;GO:0005245;GO:0005634;GO:0005886;GO:0005891;GO:0060078;GO:0070509;GO:0034651;GO:0034765;GO:0035725;GO:0005244;GO:0019228;GO:0055085;GO:0070588;GO:0006816;GO:0030425;GO:0019233;GO:0005262;GO:0005737;GO:0016021;GO:0046872;GO:0005216;GO:0006810;GO:0005248;GO:0006811;GO:0016020;GO:0043204,K04855,PF00520,13.37490236,0.553256578,0.185737978,2.978693884,0.002894798,0.009759068,TRUE,4,5,8,19,9,6,19,20,31,33,35,14,14,3,6,20,18,13,21,20,16,18,28,3,14,6,9,11,37,6,15,15,13,13,18,15,5,6,12,23,35,9,18,9,19,30,8
SymbC1.scaffold582.1,sp|P25686|DNJB2_HUMAN,DnaJ homolog subfamily B member 2 OS=Homo sapiens GN=DNAJB2 PE=1 SV=3,1.51E-10,GO:0005789;GO:0070628;GO:0005737;GO:0051087;GO:0030544;GO:0030308;GO:0051082;GO:0005783;GO:0016020;GO:0032436;GO:1903644;GO:0032880;GO:0032091;GO:0008285;GO:0016234;GO:0001671;GO:0031396;GO:0005829;GO:0006986;GO:0005515;GO:0031227;GO:0032781;GO:0061077;GO:0031625;GO:0005634;GO:0031398;GO:0090086;GO:0042026;GO:0090084;GO:0031593;GO:0043161;GO:0030433,K09508,PF00226,31.39763578,0.858706204,0.12883817,6.664998465,2.65E-11,4.49E-10,TRUE,18,14,24,29,19,12,44,25,41,47,60,38,16,13,13,29,19,27,36,59,22,40,43,20,27,24,34,31,78,32,39,61,36,43,34,52,16,13,37,37,63,19,34,19,39,69,29
SymbC1.scaffold582.3,sp|Q08200|RL10_CHICK,60S ribosomal protein L10 (Fragment) OS=Gallus gallus GN=RPL10 PE=2 SV=1,3.25E-52,GO:0003735;GO:0022625;GO:0030529;GO:0005840;GO:0003723;GO:0005622;GO:0005634;GO:0006412;GO:0000027,NA,PF00252,85.74802997,-0.770282106,0.150293315,-5.125192074,0.000000297,0.0000026,TRUE,89,82,81,104,104,119,218,95,265,229,243,271,95,54,37,145,86,66,144,304,76,210,261,13,54,23,30,65,114,44,134,93,75,177,110,78,14,18,49,41,129,47,41,21,96,166,66
SymbC1.scaffold5821.1,tr|A0A1Q9F5X9|A0A1Q9F5X9_SYMMI,E3 ubiquitin-protein ligase HERC2 OS=Symbiodinium microadriaticum GN=Herc2 PE=4 SV=1,5.00E-90,GO:0016874,NA,NA,46.18300744,0.415582151,0.128985851,3.221920438,0.001273345,0.004778935,TRUE,18,37,55,60,35,17,48,51,73,79,98,83,70,42,33,117,64,53,105,84,36,109,114,10,31,12,43,22,77,17,39,72,39,68,41,65,14,25,46,53,100,31,35,23,37,92,41
SymbC1.scaffold5823.1,tr|A0A1Q9CMX1|A0A1Q9CMX1_SYMMI;tr|A0A1M5CNE5|A0A1M5CNE5_9FLAO,"description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene34883 PE=4 SV=1//description2:Lysophospholipase, alpha-beta hydrolase superfamily OS=Tenacibaculum mesophilum GN=SAMN05444344_0521 PE=4 SV=1",4.5E-21,GO:0016787,NA,PF02129,53.55036178,0.380797525,0.122113096,3.118400386,0.001818356,0.006533255,TRUE,35,35,49,70,47,40,80,66,120,112,121,107,33,22,14,52,30,24,56,58,36,54,57,34,70,33,52,47,148,29,44,85,54,40,95,65,22,31,54,76,173,31,35,19,81,150,43
SymbC1.scaffold5825.1,tr|A0A1Q9ETQ3|A0A1Q9ETQ3_SYMMI,Hemicentin-1 OS=Symbiodinium microadriaticum GN=HMCN1 PE=4 SV=1,0.00E+00,GO:0008649;GO:0070475,NA,PF13475;PF04378,80.58062885,-0.410323148,0.09693444,-4.232996507,0.0000231,0.000136,TRUE,71,70,111,90,82,79,155,99,195,163,191,212,110,50,54,175,106,105,162,217,82,188,209,30,52,21,58,66,139,31,69,69,68,131,79,91,16,33,70,50,117,26,38,36,62,181,54
SymbC1.scaffold583.4,sp|P38205|NCL1_YEAST,Multisite-specific tRNA:(cytosine-C(5))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NCL1 PE=1 SV=1,1.2E-54,GO:0032259;GO:0003723;GO:0008033;GO:0005737;GO:0005634;GO:0008168;GO:0000049;GO:0016740;GO:0002127;GO:0005654;GO:0070301;GO:0006400;GO:0030488;GO:0016428;GO:0005730,K15334,PF01189,8.77208771,1.023617274,0.334720974,3.058121103,0.002227295,0.007761102,TRUE,3,6,0,8,7,2,5,7,14,17,19,17,3,0,1,9,6,8,13,13,2,16,14,14,19,7,8,9,14,8,5,1,5,5,11,11,5,9,17,17,31,3,2,1,12,13,15
SymbC1.scaffold5832.2,sp|Q5UQE9|YL477_MIMIV,Uncharacterized peptidase C1-like protein L477 OS=Acanthamoeba polyphaga mimivirus GN=MIMI_L477 PE=3 SV=1,2.61E-57,GO:0006508;GO:0008234,NA,PF00145;PF00112,156.434643,0.627706267,0.093892675,6.68535929,2.3E-11,3.94E-10,TRUE,136,141,109,120,135,95,142,115,265,165,233,271,167,109,109,245,171,130,255,306,127,227,305,81,153,86,122,153,302,99,189,238,157,191,164,192,45,88,152,156,344,102,136,85,178,352,141
SymbC1.scaffold5833.1,tr|A0A1Q9EYL4|A0A1Q9EYL4_SYMMI,Glutathione S-transferase 1 OS=Symbiodinium microadriaticum GN=GST1 PE=4 SV=1,1.06E-57,GO:0016740,NA,NA,157.3565554,-0.259161798,0.110512449,-2.345091444,0.019022414,0.048766361,TRUE,117,127,145,173,129,88,270,218,421,350,365,390,195,143,114,388,191,168,439,406,247,401,479,62,122,68,76,86,179,56,188,209,131,270,107,267,30,52,87,142,275,62,89,63,122,204,79
SymbC1.scaffold5835.1,sp|Q9LYG9|MSL10_ARATH,Mechanosensitive ion channel protein 10 OS=Arabidopsis thaliana GN=MSL10 PE=1 SV=1,5.46E-07,GO:0016021;GO:0008381;GO:0005886;GO:0097468;GO:0034220;GO:0055085;GO:0050982;GO:0006820;GO:0010150;GO:0006810;GO:0006811;GO:0016020,NA,PF00924,26.12039173,3.396708207,0.237881623,14.27898531,2.96E-46,1.3E-43,TRUE,2,4,3,1,4,1,5,5,7,4,11,10,27,18,7,38,40,32,68,59,13,59,83,23,45,18,25,35,65,30,25,42,30,46,45,36,16,13,33,31,85,12,16,8,44,84,28
SymbC1.scaffold5837.1,tr|A0A1Q9E0J7|A0A1Q9E0J7_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene16369 PE=4 SV=1,3.06E-86,GO:0004523;GO:0016020;GO:0090502;GO:0003676;GO:0016021,NA,NA,10.97073412,0.875202064,0.205889176,4.250840577,0.0000213,0.000127,TRUE,4,5,11,9,8,9,13,7,10,16,22,15,17,6,10,16,9,13,19,18,18,14,18,5,14,8,4,6,16,4,10,15,8,21,9,25,3,6,14,14,34,9,14,2,10,24,5
SymbC1.scaffold5837.3,tr|A0A1Q9ECD9|A0A1Q9ECD9_SYMMI;tr|A0A1Q9DMU6|A0A1Q9DMU6_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene11780 PE=4 SV=1//description2:Twitchin OS=Symbiodinium microadriaticum GN=unc-22 PE=4 SV=1,3.00E-21,GO:0004672;GO:0018108;GO:0005524;GO:0004089;GO:0008270;GO:0004713;GO:0006468,NA,NA,16.60222353,-0.482454542,0.185030922,-2.607426573,0.009122563,0.0262579,TRUE,20,24,21,23,10,13,21,17,31,34,42,53,24,9,10,38,34,20,33,45,18,29,44,5,5,5,9,11,29,10,23,15,18,38,12,18,3,4,14,7,26,9,8,6,15,29,9
SymbC1.scaffold584.2,tr|A0A1Q9CFT9|A0A1Q9CFT9_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene37615 PE=4 SV=1,4.98E-37,GO:0016021;GO:0016020,NA,NA,17.04694042,-1.142761599,0.216652344,-5.274632972,0.000000133,0.00000124,TRUE,5,10,19,28,28,20,21,18,63,58,59,68,29,13,11,47,34,36,55,56,27,53,57,5,7,5,11,4,19,7,16,8,10,35,9,28,0,4,7,5,19,4,5,3,9,17,12
SymbC1.scaffold5841.3,sp|O82392|THIC_ARATH,"Phosphomethylpyrimidine synthase, chloroplastic OS=Arabidopsis thaliana GN=THIC PE=1 SV=1",0.00E+00,GO:0046872;GO:0009228;GO:0051536;GO:0010266;GO:0080041;GO:0009229;GO:0009570;GO:0019904;GO:0009507;GO:0016829;GO:0051539;GO:0009536,K03147,PF13667;PF01964,185.154197,-0.492955308,0.071359712,-6.908033907,4.91E-12,9.24E-11,TRUE,167,187,231,260,197,129,291,189,428,382,530,491,316,167,125,390,235,194,398,489,204,375,489,72,153,68,150,120,362,91,178,224,144,287,165,187,22,65,134,99,282,58,91,61,167,391,120
SymbC1.scaffold5842.1,sp|P42604|UXAA_ECOLI,Altronate dehydratase OS=Escherichia coli (strain K12) GN=uxaA PE=1 SV=3,3.01E-11,GO:0016829;GO:0008198;GO:0019698;GO:0008789,K01685,PF04295,22.50379862,2.880748626,0.244815261,11.76703041,5.77E-32,7.87E-30,TRUE,2,0,5,11,3,4,4,11,13,16,17,14,9,2,2,14,8,7,24,9,21,8,19,16,29,10,20,26,82,22,28,72,47,16,46,22,13,12,25,51,83,18,30,28,44,84,35
SymbC1.scaffold5845.2,tr|A0A1Q9EAT6|A0A1Q9EAT6_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene12363 PE=4 SV=1,4.02E-46,GO:0090502;GO:0003676;GO:0004523,NA,NA,16.53794869,-1.027452423,0.181961173,-5.646547575,1.64E-08,0.000000179,TRUE,14,17,24,29,30,22,28,24,43,32,65,57,30,14,12,41,30,17,36,39,16,39,47,3,5,4,12,8,31,5,6,6,9,29,14,15,3,5,16,1,27,3,4,8,9,26,14
SymbC1.scaffold5845.3,tr|A0A1Q9DDR0|A0A1Q9DDR0_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene24756 PE=4 SV=1,0,GO:0005216;GO:0006811;GO:0034220;GO:0016021;GO:0055085;GO:0016020,NA,NA,63.3985506,-0.92061376,0.161069814,-5.71561945,1.09E-08,0.000000123,TRUE,55,48,52,88,57,43,94,70,132,145,159,151,147,92,69,166,130,105,206,293,81,237,258,16,22,12,27,30,94,22,46,30,29,155,42,69,11,14,34,22,65,12,15,12,31,78,27
SymbC1.scaffold585.2,sp|P36602|RIR1_SCHPO,Ribonucleoside-diphosphate reductase large chain OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=cdc22 PE=1 SV=2,1.64E-26,GO:0000166;GO:0009263;GO:0006235;GO:0005515;GO:0005524;GO:0006165;GO:0005829;GO:0006260;GO:0016491;GO:0006240;GO:0004748;GO:0051063;GO:0061731;GO:0004550;GO:0055114;GO:0046704;GO:0008152;GO:0003824;GO:0005971;GO:0005737,K10807,PF02867,57.05063514,0.395401897,0.123893416,3.191468185,0.001415517,0.005242514,TRUE,29,43,55,69,43,24,102,55,101,104,155,129,62,34,33,72,50,45,100,94,68,113,99,23,52,34,34,25,99,28,43,96,58,60,67,65,19,49,38,70,133,30,63,34,57,122,45
SymbC1.scaffold5854.5,sp|A7ZNX7|SFGH2_ECO24,S-formylglutathione hydrolase YeiG OS=Escherichia coli O139:H28 (strain E24377A / ETEC) GN=yeiG PE=3 SV=1,1.74E-50,GO:0052689;GO:0046294;GO:0016787;GO:0018738,K01070,PF00756,12.21349676,-1.02854183,0.20490079,-5.019706515,0.000000518,0.00000433,TRUE,16,14,15,22,12,7,27,21,41,37,48,46,15,17,4,12,14,12,26,27,21,24,16,8,7,3,7,8,12,9,12,7,8,21,6,14,2,4,7,6,18,4,6,0,11,16,7
SymbC1.scaffold5859.4,sp|Q869W6|MYLKG_DICDI,Probable myosin light chain kinase DDB_G0275057 OS=Dictyostelium discoideum GN=DDB_G0275057 PE=3 SV=1,1.59E-10,GO:0006468;GO:0035556;GO:0016740;GO:0000166;GO:0004672;GO:0018107;GO:0018105;GO:0005524;GO:0016301;GO:0004687;GO:0016310;GO:0004674;GO:0005622,K08794,PF00069,69.18880762,-1.004993455,0.10810912,-9.29610246,1.46E-20,7.5E-19,TRUE,76,88,101,120,87,64,164,122,236,205,264,256,70,50,42,110,87,79,142,171,87,185,142,15,26,17,21,25,78,34,58,68,57,92,50,79,13,27,43,49,113,23,32,20,32,93,43
SymbC1.scaffold586.4,tr|A0A1Q9E3Y7|A0A1Q9E3Y7_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene15082 PE=4 SV=1,3.66E-10,GO:0006468;GO:0016020;GO:0005524;GO:0004672;GO:0016021,NA,NA,34.60876495,0.985733634,0.169096223,5.829424325,5.56E-09,6.58E-08,TRUE,6,8,27,30,19,18,14,23,82,59,63,68,19,12,3,70,34,23,61,51,31,35,64,18,40,9,42,32,114,31,52,81,57,45,45,34,10,16,37,24,86,21,34,36,63,98,38
SymbC1.scaffold586.5,tr|A0A061QWZ9|A0A061QWZ9_9CHLO,Uncharacterized protein OS=Tetraselmis sp. GSL018 GN=TSPGSL018_18772 PE=4 SV=1,2.04E-129,GO:0055114;GO:0016491,NA,PF13450,43.5266506,0.334417401,0.112233943,2.97964585,0.002885818,0.009731606,TRUE,23,25,38,55,34,32,68,31,70,64,84,58,52,27,27,77,57,35,103,92,34,82,79,20,56,29,54,38,100,27,41,65,36,69,47,50,14,18,31,41,101,25,31,16,40,96,32
SymbC1.scaffold5863.1,sp|Q2QYY8|PHT1A_ORYSJ,Phototropin-1A OS=Oryza sativa subsp. japonica GN=PHOT1A PE=1 SV=2,8.52E-14,GO:0000160;GO:0000166;GO:0016740;GO:0009882;GO:0035556;GO:0016310;GO:0005634;GO:0005886;GO:0005524;GO:0009881;GO:0004672;GO:0009785;GO:0023014;GO:0006468;GO:0000155;GO:0004674;GO:0005737;GO:0016301;GO:0050896;GO:0018298,K20715,PF13426,70.83244492,0.323119268,0.103597945,3.11897371,0.001814822,0.00652288,TRUE,27,44,66,71,46,47,73,105,180,121,166,161,62,34,33,97,71,75,149,123,82,99,144,24,69,34,63,51,205,45,77,118,105,98,79,80,15,27,64,59,196,49,49,46,86,160,58
SymbC1.scaffold5864.1,tr|A0A1Q9E055|A0A1Q9E055_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene16495 PE=4 SV=1,8.65E-06,NA,NA,NA,22.60455955,1.545681441,0.195663037,7.899710983,2.8E-15,8.1E-14,TRUE,6,5,4,9,7,9,8,11,13,18,20,30,55,36,14,52,43,38,74,66,11,52,94,9,25,13,22,12,54,19,25,30,24,44,17,33,6,8,23,20,52,5,17,7,21,72,18
SymbC1.scaffold5865.4,sp|P55034|PSMD4_ARATH,26S proteasome non-ATPase regulatory subunit 4 homolog OS=Arabidopsis thaliana GN=RPN10 PE=1 SV=1,1.94E-92,GO:0010150;GO:0000502;GO:0008540;GO:0005515;GO:0048528;GO:0030163;GO:0009408;GO:0006511;GO:0043161;GO:0031593;GO:0009651;GO:0051788;GO:0048455;GO:0005634;GO:0006974;GO:0009555;GO:0009733;GO:0001653;GO:0005829;GO:0016020;GO:0009744;GO:0048767;GO:0048366;GO:0009735;GO:0009737;GO:0043248;GO:0010029;GO:0007165,K03029,PF13519,119.0699536,-0.306662037,0.106333983,-2.883951389,0.003927194,0.012712907,TRUE,151,105,102,128,100,96,232,178,288,261,306,302,142,103,78,201,142,112,236,243,170,248,260,42,78,51,68,79,163,73,138,132,75,186,86,179,28,41,81,112,208,53,78,37,101,179,84
SymbC1.scaffold5866.5,sp|Q8CDF7|EXD1_MOUSE,piRNA biogenesis protein EXD1 OS=Mus musculus GN=Exd1 PE=1 SV=1,2.19E-15,GO:0003676;GO:0034587;GO:0005737;GO:0043186;GO:0003723;GO:0042803;GO:1990923;GO:0031047;GO:0051321;GO:0006139,K18740,PF00535;PF01612,229.7632634,-0.254143828,0.094165917,-2.698894013,0.006957033,0.020743944,TRUE,252,189,201,265,205,166,477,351,533,538,552,597,250,142,135,351,265,209,447,458,296,461,456,96,186,93,149,135,360,114,299,352,208,358,223,332,48,73,181,219,386,143,153,65,192,410,151
SymbC1.scaffold5868.1,sp|Q9LU46|RH35_ARATH,DEAD-box ATP-dependent RNA helicase 35 OS=Arabidopsis thaliana GN=RH35 PE=2 SV=1,0,GO:0010501;GO:0005730;GO:0000166;GO:0016787;GO:0003676;GO:0004386;GO:0004004;GO:0046872;GO:0005524;GO:0005737;GO:0071013;GO:0003723;GO:0008270,K13116,PF00271;PF00270,46.39016231,0.871254973,0.117944614,7.386983988,1.5E-13,3.48E-12,TRUE,19,26,35,47,33,17,41,34,76,69,85,98,34,12,12,65,39,42,61,66,48,72,82,31,44,22,43,46,129,32,51,94,52,53,69,45,15,32,56,48,161,38,37,24,62,145,39
SymbC1.scaffold5868.2,tr|A0A1Q9DT75|A0A1Q9DT75_SYMMI,3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Symbiodinium microadriaticum GN=panB PE=4 SV=1,1.26E-32,GO:0015940;GO:0016021;GO:0008168;GO:0003864;GO:0032259;GO:0003824;GO:0016020;GO:0016740,NA,NA,5.204583044,-0.750739923,0.296523,-2.531810087,0.011347543,0.03163985,TRUE,4,2,7,19,6,5,7,10,14,16,26,22,3,1,2,4,8,3,5,10,9,9,6,2,1,2,4,3,3,2,3,3,10,10,9,2,1,1,2,6,14,3,2,3,4,13,4
SymbC1.scaffold5868.3,tr|A0A1Q9CY31|A0A1Q9CY31_SYMMI,DEAD-box ATP-dependent RNA helicase 35 OS=Symbiodinium microadriaticum GN=RH35 PE=4 SV=1,0,GO:0004386;GO:0005525;GO:0007264;GO:0005622;GO:0003676;GO:0005509;GO:0005524,NA,NA,63.20956646,0.485598136,0.09754335,4.978280259,0.000000642,0.0000053,TRUE,27,45,40,71,47,40,78,81,156,122,138,143,53,39,23,111,63,66,156,128,70,125,130,18,50,25,56,49,139,44,47,78,57,91,50,93,15,23,81,94,201,40,32,34,71,183,55
SymbC1.scaffold5869.2,sp|Q9SDM1|CB121_HORVU;sp|P12360|CB11_SOLLC,"description1:Chlorophyll a-b binding protein 1B-21, chloroplastic OS=Hordeum vulgare GN=LHC Ib-21 PE=1 SV=1//description2:Chlorophyll a-b binding protein 6A, chloroplastic OS=Solanum lycopersicum GN=CAB6A PE=2 SV=1",1.44E-09,GO:0009579;GO:0009523;GO:0009768;GO:0009416;GO:0031409;GO:0009522;GO:0009536;GO:0015979;GO:0016021;GO:0046872;GO:0009941;GO:0018298;GO:0016168;GO:0009507;GO:0010287;GO:0009765;GO:0009535;GO:0016020,K08907,PF00504,228.1713532,-0.402176496,0.108708834,-3.699575126,0.000216,0.001008436,TRUE,318,280,222,250,217,156,411,198,438,461,525,574,378,175,180,395,268,230,390,652,204,537,596,102,171,113,156,158,413,121,235,224,164,368,188,206,46,66,167,148,341,80,117,64,262,486,163
SymbC1.scaffold587.2,sp|H2LRU7|PKD2_ORYLA,Polycystin-2 OS=Oryzias latipes GN=pkd2 PE=1 SV=2,6.93E-10,GO:0050982;GO:0071805;GO:0015271;GO:0005929;GO:0071277;GO:0005515;GO:0005244;GO:0005267;GO:0030659;GO:0031410;GO:0034765;GO:0005509;GO:0003127;GO:0042995;GO:0060170;GO:0005886;GO:0006813;GO:0006811;GO:0016020;GO:0006810;GO:0005783;GO:0016323;GO:0016021;GO:0046872;GO:0070588;GO:0006816;GO:0005262;GO:0005789,K04986,PF00589;PF08016,19.24441488,-2.823388025,0.43235914,-6.530191598,6.57E-11,1.05E-09,TRUE,17,37,32,40,36,18,66,28,61,73,100,87,39,17,16,50,35,34,66,82,29,89,71,2,5,1,2,2,3,3,6,2,1,51,2,22,1,0,6,7,12,0,1,0,2,1,5
